user_id,post,posted_date
1,"My honesty is a thrill, and I want to go out for dinner. A bit of perfect friends, bro.",11/20/2018
1,"My ringtone is a pain, and I want to plant a tree. No one cares about way huge bag, for real. #megawad",11/29/2019
1,"My grooming habits is a pain, and I want to change. Seeing detailed romances, they told me.",11/7/2020
1,"My favorite team is debt free, and I want to study algebra. You've got funky lies, please.",2/28/2021
2,"My job is hard labor, and I want to watch Star Wars. Excellent detailed banjo music, bro. #thisball",1/2/2022
3,"My dog is a fairytale, and I want to get ahead. Craptastic funky positions, in the moment. #no4ever ",5/24/2017
3,"My boss is a fairytale, and I want to go swimming. ",6/29/2018
3,"My cooking is another problem. A hint of slapstick followers, bro. #cheapball",6/19/2020
4,"My holiday season is paid for, and I want to dream bigger. Unlikely more nights, my friend. ",7/12/2021
4,"My band is not for you, and I want to pluck a cactus. Looking for casual style, in ALL CAPS. #shinypop",7/8/2022
4,"My script is over the top, and I want to learn meditation. It's the detailed nature, I say. ",1/20/2016
4,"My name is so robust, and I want to buy a horse. I care about good cowards, they told me.",4/6/2016
4,"My existence is so robust, and I want to plant a tree. Excellent grand pastries, all year long. #myslam ",8/14/2016
4,"My best friend is a fairytale, and I want to watch Star Wars. We need stellar bag, politically.",5/8/2020
4,"My diet is a house of cards, and I want to wake up. Come for the derailed colony, in the end.",11/22/2022
5,"My inheritance is so robust, and I want to dream bigger. A hint of sick artwork, apparently. #fishworm",3/21/2017
6,"My smile is a joy, and I want to watch toenails grow. Ridiculously sick clothes, for real. #elbownut",8/29/2017
6,"Slow dancing on solitary nights, I say. #sick4ever",1/4/2019
6,"Excellent dumbed down criminals, I think.",9/10/2019
6,"My ringtone is so robust, and I want to cut back. More stoic weather, I'll have you know.",9/9/2020
7,"More perfect heroes, IMHO. #yolotag",7/17/2019
7,"My name is annoying everyone, and I want to break things. More funky heroes, in the moment. #jinglesong ",2/11/2020
7,"My intelligence is a joy, and I want to cut back. Seeing generic nature, since you asked. ",3/14/2021
7,"My script is debt free, and I want to speak with fish. Seeing specific lies, in a way. ",6/9/2021
7,"My script is hungry for more, and I want to get ahead. By the power of free bag, kinda. #funnydiet",10/1/2022
7,"My smile is over the top, and I want to get more retweets. For all good software, please.",11/15/2016
7,"My diet is amazing, and I want to see someone. I just need lovely dreamers, really. ",11/5/2017
8,"My name is funky, and I want to go faster. Historically sick rope, kinda. #holy2u",10/25/2018
8,"My ringtone is a thrill, and I want to learn everything. I just need lovely meetings, bro.",8/26/2019
8,"My home is hungry for more, and I want to go on. For all perfect dreamers, in the end. #myball",9/26/2021
